timestamp,model_dir,base_model,lora_r,lora_alpha,lora_dropout,lora_bias,target_modules,num_epochs,batch_size,max_length,gradient_clip,learning_rate,optimizer,weight_decay,scheduler,dataset,training_time_minutes,best_val_loss
20250304041620,20250304_mvv_APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,k_proj,v_proj,o_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.37,1.398569
20250304043253,20250304_bbj_APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,k_proj,v_proj,o_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.37,1.575200
20250304055838,20250304_kaq_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.39,1.601306
20250304060310,20250304_avm_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,3.79,1.139770
20250304061534,20250304_etz_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,3.80,1.358756
20250304063802,20250304_rjm_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,3.81,1.320491
20250304064208,20250304_yrt_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,3.81,1.506310
20250304071058,20250304_vko_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,3.80,1.297105
20250304072147,20250304_orr_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,13.68,0.992731
20250304074902,20250304_jxa_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.39,1.358435
20250304080503,20250304_hph_MBPP2APPS_sophia_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,sophia,0.01,cosine,apps,0.42,1.505046
20250305012957,20250305_fun_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,13.54,1.110277
20250305023054,20250305_wrf_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,13.67,1.155889
20250305200027,20250305_xcw_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.39,1.672330
20250306001637,20250306_apa_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.44,1.789607
20250306040138,20250306_pqk_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.45,1.842576
20250306041800,20250306_wgf_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,0.46,1.493477
20250306042152,20250306_gkk_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,13.89,1.054538
20250306043817,20250306_mdp_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.43,1.594900
20250306055923,20250306_jwy_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,0.45,2.360773
20250306061810,20250306_kfg_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,14.03,1.155302
20250306064752,20250306_lil_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,14.34,1.133866
20250306072813,20250306_wgb_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,18.71,1.151388
20250306075522,20250306_pvr_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,13.87,1.162744
20250306083433,20250306_jok_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,0.51,1.993859
20250306083640,20250306_osw_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,0.43,1.368991
20250306083859,20250306_skm_MBPP2APPS_adamw_r8_lr0.0002_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.0002,adamw,0.01,cosine,apps,13.82,1.136885
20250306085401,20250306_kmm_MBPP2APPS_sophia_r8_lr0.00016_epochs3,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",3,4,512,1.0,0.00016,sophia,0.01,cosine,apps,14.38,1.068316
20250307041757,20250307_mfp_MBPP2APPS_adamw_r8_lr0.0002_epochs6,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",6,4,512,1.0,0.0002,adamw,0.01,cosine,apps,48.54,1.224448
20250307041800,20250307_ytj_MBPP2APPS_sophia_r8_lr0.00016_epochs6,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",6,4,512,1.0,0.00016,sophia,0.01,cosine,apps,49.92,1.217667
20250307054922,20250307_arg_MBPP2APPS_adamw_r8_lr0.00015_epochs5,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",5,4,512,1.0,0.00015,adamw,0.01,cosine,apps,40.27,1.243672
20250307054931,20250307_sqw_MBPP2APPS_sophia_r8_lr0.00012_epochs5,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",5,4,512,1.0,0.00012,sophia,0.01,cosine,apps,41.34,1.150449
20250307071600,20250307_yxz_MBPP2APPS_adamw_r8_lr0.00018_epochs4,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",4,4,512,1.0,0.00018,adamw,0.01,cosine,apps,36.40,1.138233
20250307071626,20250307_fft_MBPP2APPS_sophia_r8_lr0.00014_epochs4,codellama/CodeLlama-7b-hf,8,16,0.05,none,"q_proj,v_proj,down_proj,up_proj",4,4,512,1.0,0.00014,sophia,0.01,cosine,apps,36.82,1.140402
